user_id,recipe_id,date,rating,review
1001417,69924,2009-12-09,5,"Very, very good.  A welcome change from mayo based dressing.  I used it with one bag of prepared slaw and it was plenty.  I cut down on the sugar a little and don't think it hurt it a bit."
186855,450108,2011-10-10,4,"I've never made dressing with bread cubes before, so this was new for me.  It was very easy to make and we did enjoy the flavour.  I used 'freeze-dried' poultry seasoning, and found it wasn't as strong as the regular 'ground' version, so the flavour could have been a little stronger.  Next time I'll used 'ground', or increase the 'freeze-dried' seasoning.  I did add the celery to the onion mixture before adding the bread, but that was the only thing I did differently.  I'll certainly be making this again for the Christmas bird.  Many thanks Alvina.  Made for Fall PAC 2011."
1169937,337526,2009-07-29,5,"I usually just dice mango and avocado for salad.  It never occurred to me to throw them both in a blender.  Yummy, light refreshing dessert for summer with no added sugar.  Great for kids."
717221,112526,2008-05-17,5,"So tasty! Wouldn't change a thing. Made 1/2 spicy with chilies and 1/2 without for my non-spicy friend - both lovely. Have made twice already, and once had to leave assembled enchiladas with cream poured over in foil covered dishes in the fridge for 3 days! due to unforseen circumstances. These were still great only baking three days later. Thanks for a lovely, easy and tasty recipe."
191641,185342,2009-09-12,5,Really good.  The parmesan cheese added a nice flavour and didn't add too many calories.  Good recipe.
865653,86866,2010-03-25,0,"Wow, these did not turn out for me.  I don't know what went wrong, but it seems like it needed a lot more flour to make a dough, mine was more like a batter!  Not sure if I'll even try them again."
772114,231964,2008-02-22,5,Turned out Great!!. Made it twice so far.
593513,154288,2010-12-23,5,"I only used the sage butter sauce on this recipe. I had used a pumpkin ricotta mixture in my raviolis. I love using won ton wrappers for these because it makes it so much quicker and the flavor is excellent. I didn't have any problems with making them or boiling them, they stayed intact. Then I simmered them in the sauce. Sage butter sauce goes so well with pumpkin raviolis. They were like eating little pillows of delight. Thanks for sharing your recipe Queen!!"
2001462184,90000,2017-03-29,5,Family Favorite. For a low carb version cauliflower mash has a consistency very close to grits.
653438,180465,2013-02-14,5,Made for February Sun and Spice Event and I am soooo glad I did.  DH was gone at lunch time and so I made this and used fresh mozzarella cheese and ohhh it melted so nicely and with the herbs it made the sandwich.  This is going into my Favorites of 2013.
917666,282336,2008-11-09,3,"If you prefer a crunchier cookie, you should like these.  I like my cookies to be a bit softer, so if I make these again, I will take the suggestion below and add a bit more butter to the recipe.  Being able to change the color of the M&M for the occasion was fun.  Thanks for posting the recipe!"
373018,54257,2009-01-21,4,"I'm not a fan of meatloaf at all, but my DH was having a craving so I thought I'd make him one and chose this one because of the high reviews, that many people can't be wrong.  :-)  It was indeed very good!  I even ate 2 slices, I haven't eaten meatloaf in 30 years."
285039,192548,2007-02-19,5,"My husband would give this 6 stars if it was possible!  I used a 3 pound pork loin roast, and prepackaged slaw mix and it turned out fantastic. Thanks for posting; it was yummy!"
42236512,114558,2015-02-08,0,Loved it but I used beef and beef broth and it was wonderful!!!!
